Id;Sex;Esc;Atv;Ric;Rend;Tvol;Pre;SG;EP;SM
 ; ; ; ; ; ; ; ; ; ; 
 ; ; ; ; ; ; ; ; ; ; 
 ; ; ; ; ; ; ; ; ; ; 
 ; ; ; ; ; ; ; ; ; ; 
 ; ; ; ; ; ; ; ; ; ; 
 ; ; ; ; ; ; ; ; ; ; 
 ; ; ; ; ; ; ; ; ; ; 
 ; ; ; ; ; ; ; ; ; ; 
 ; ; ; ; ; ; ; ; ; ; 
 ; ; ; ; ; ; ; ; ; ; 
 ; ; ; ; ; ; ; ; ; ; 
 ; ; ; ; ; ; ; ; ; ; 
 ; ; ; ; ; ; ; ; ; ; 
 ; ; ; ; ; ; ; ; ; ; 
 ; ; ; ; ; ; ; ; ; ; 
 ; ; ; ; ; ; ; ; ; ; 
 ; ; ; ; ; ; ; ; ; ; 
 ; ; ; ; ; ; ; ; ; ; 
 ; ; ; ; ; ; ; ; ; ; 
 ; ; ; ; ; ; ; ; ; ; 
 ; ; ; ; ; ; ; ; ; ; 
 ; ; ; ; ; ; ; ; ; ; 
36; ;2;2;1;3000;2;2;-.45173288395695;-.705517072231457;.124942654574626
 ; ; ; ; ; ; ; ; ; ; 
 ; ; ; ; ; ; ; ; ; ; 
 ; ; ; ; ; ; ; ; ; ; 
 ; ; ; ; ; ; ; ; ; ; 
 ; ; ; ; ; ; ; ; ; ; 
 ; ; ; ; ; ; ; ; ; ; 
 ; ; ; ; ; ; ; ; ; ; 
 ; ; ; ; ; ; ; ; ; ; 
 ; ; ; ; ; ; ; ; ; ; 
 ; ; ; ; ; ; ; ; ; ; 
 ; ; ; ; ; ; ; ; ; ; 
 ; ; ; ; ; ; ; ; ; ; 
24; ;0; ;1; ;2;1; ; ; 
 ; ; ; ; ;800;2;1; ; ; 
28; ;2;1;2; ;2;1;2.64944799178973;1.17964125881721;-2.67391300525059
18; ;0; ;1; ;2; ; ; ; 
 ; ; ; ; ; ; ; ; ; ; 
 ; ; ; ; ; ; ; ; ; ; 
 ; ; ; ; ; ; ; ; ; ; 
 ; ; ; ; ; ; ; ; ; ; 
 ; ; ; ; ; ; ; ; ; ; 
 ; ; ; ; ; ; ; ; ; ; 
35;1;2;3;1;10000;2;2;-.118632350968962;-.569066581375386;.213273028251983
27;1;1;2;2;9000;2;1; ; ;-1.0268968069663
32;1;2;1;1;2000;2;1;.534165965835575;-.161476313999362;-.0509919787269809
39;1;2;2;1;8000;2;1;-.037335370511725;-.288829541617832;.530376809703068
33;1;1;2;1;4500;2;2; ; ; 
24;1;0;1;1;1000;2;2; ; ; 
21;1;0;1;2;1300;1;1; ; ;-1.25568302742158
23;1;2;2;1;2500;1;2;.647317632083576;.373192232612238;-.124569244523726
18;1;0; ;2; ;2;1;-.920514285130112;-.798969066429959;.303152898393878
21;1;0;1;2; ;1;1;.589587281227414;.631572961028927; 
53;1;2; ;1;8000;2;2;-1.11028954388603;-1.02482712830578;.908914244717958
26;1;0;3;1;730;2;1;.0620817264856986;-.270766258726297;.756553818249295
26;1;2;1;1;2000;2;1;.011137556720473;.356337051238753;.33005959837271
24;1;0;1;2; ;1;1; ; ;.185640819615055
